Date,Open,High,Low,Close,Adj Close,Volume
17-03-2015,1291.25,1303.349976,1278.875,1291.849976,1069.909302,1267318
18-03-2015,1295.474976,1299.724976,1275.849976,1279.675049,1059.82605,1255170
19-03-2015,1288,1302.925049,1284.050049,1298.125,1075.106812,2448964
20-03-2015,1298,1309,1289.425049,1305.474976,1081.193604,1963908
23-03-2015,1308,1315.5,1303,1308.574951,1083.760864,1566608
24-03-2015,1315,1318.5,1291.050049,1295.650024,1073.056519,2394878
25-03-2015,1295.699951,1307,1272.599976,1286.875,1065.789063,2224858
26-03-2015,1276.650024,1293.349976,1250.5,1256.550049,1040.67395,3091642
27-03-2015,1265.5,1285.949951,1252.050049,1257.400024,1041.377563,2751776
30-03-2015,1262.5,1284.949951,1260,1282.074951,1061.813965,1339006
31-03-2015,1284.724976,1284.724976,1260.5,1276.974976,1057.589844,2427028
01-04-2015,1279,1281.800049,1261.125,1271.324951,1052.9104,2075758
06-04-2015,1279,1281.449951,1250.050049,1273.650024,1054.836548,1568542
07-04-2015,1281.224976,1299.5,1272,1292.5,1070.447754,1886922
08-04-2015,1297,1328.25,1295.425049,1320.699951,1093.80249,1652134
09-04-2015,1329.5,1343.724976,1317.574951,1332.275024,1103.389526,2544450
10-04-2015,1324.25,1335.400024,1314,1326.875,1098.916992,1815544
13-04-2015,1332,1332.5,1314,1327.75,1099.64209,1308642
15-04-2015,1327.349976,1356.949951,1304.699951,1313.875,1088.150513,2913934
16-04-2015,1313.474976,1313.5,1285.675049,1291.400024,1069.536377,3217570
17-04-2015,1278.550049,1280,1235,1237.425049,1024.834595,9668742
20-04-2015,1240.025024,1241.949951,1212.425049,1214.400024,1005.765381,2890722
21-04-2015,1214.400024,1226,1200.5,1213.525024,1005.040649,2546032
22-04-2015,1215.75,1236.5,1203.775024,1222.550049,1012.515198,4186812
23-04-2015,1236,1239.900024,1215.849976,1228.625,1017.546692,4342990
24-04-2015,1227.650024,1257,1223.775024,1246.525024,1032.371704,3625158
27-04-2015,1249.75,1260,1243,1250.099976,1035.331909,2733052
28-04-2015,1255,1255,1227.550049,1247.5,1033.178955,3088298
29-04-2015,1242,1247.5,1225.525024,1243.650024,1029.990112,2019620
30-04-2015,1240,1245,1213.550049,1231.849976,1020.217163,3738054
04-05-2015,1245.5,1252.400024,1228.599976,1240.775024,1027.608765,1890630
05-05-2015,1250.5,1268.224976,1250,1258.925049,1042.641113,3255070
06-05-2015,1257.5,1257.5,1227.900024,1231.525024,1019.948303,3394406
