Date,Open,High,Low,Close,Adj Close,Volume
2007-08-02,109.113754,109.113754,103.567505,103.983757,88.800140,5002017
2007-08-03,114.727509,114.727509,104.400002,105.795006,90.346916,6367977
2007-08-06,103.500008,105.817505,102.003754,102.915009,87.887428,3264533
2007-08-07,105.693756,109.057503,102.825005,103.432503,88.329369,5718279
2007-08-08,104.782501,108.900002,104.782501,107.268753,91.605469,8950759
2007-08-09,108.011253,109.012505,107.100006,107.482506,91.788002,5674390
2007-08-10,106.807503,108.675003,103.050003,108.056252,92.277969,5358137
2007-08-13,108.281258,108.652504,106.875008,108.045006,92.268349,2801502
2007-08-14,108.900002,108.990005,107.347504,108.326256,92.508545,1881097
2007-08-16,103.950005,106.875008,102.948753,105.626251,90.202812,3655679
2007-08-17,105.075005,108.450005,100.125008,106.740005,91.153931,6614075
2007-08-20,107.865005,111.982506,104.332504,105.581253,90.164383,5727684
2007-08-21,108.675003,108.675003,99.000008,100.541252,85.860306,6063448
2007-08-22,101.700005,102.802505,97.875008,101.992508,87.099640,5395395
2007-08-23,105.682503,105.682503,98.763756,100.957504,86.215759,2022497
2007-08-24,104.602509,104.602509,100.068756,102.915009,87.887428,3239039
2007-08-27,103.500008,105.075005,101.778755,104.490005,89.232483,2358048
2007-08-28,103.500008,105.750008,103.173752,105.018753,89.684006,3314662
2007-08-29,104.062508,106.200005,101.936256,105.750008,90.308487,3752577
2007-08-30,107.325005,109.068756,105.378754,107.482506,91.788002,7345226
2007-08-31,107.775002,109.856255,106.875008,108.528755,92.681496,3267964
2007-09-03,109.350006,109.350006,106.436256,106.818756,91.221191,3548399
2007-09-04,108.450005,109.755005,103.972504,104.838753,89.530289,3606862
2007-09-05,105.660004,107.257507,105.333755,106.391258,90.856087,5846808
2007-09-06,104.850006,107.955002,104.850006,107.550003,91.845627,3190270
2007-09-07,107.550003,108.112503,105.817505,107.606255,91.893692,3550835
2007-09-10,105.975006,106.751251,104.400002,104.647507,89.366951,3018395
2007-09-11,105.750008,105.750008,102.172508,102.476257,87.512772,2517364
2007-09-12,103.387505,103.590004,101.272507,101.823753,86.955536,1608066
2007-09-13,102.825005,103.230003,101.193756,102.690002,87.695290,2728688
2007-09-14,103.950005,103.950005,100.350006,101.306252,86.513603,1953768
2007-09-17,101.835007,102.150002,100.631256,101.115005,86.350266,1865697
2007-09-18,101.677505,101.677505,99.675003,99.945007,85.351128,5421044
2007-09-19,101.812508,103.477509,100.462502,100.901253,86.167747,6719937
2007-09-20,100.350006,101.250008,97.436256,97.807503,83.525757,3525919
2007-09-21,97.200005,99.675003,95.658752,98.707504,84.294319,8936172
2007-09-24,99.000008,100.687508,97.323753,99.742500,85.178192,8506359
2007-09-25,100.350006,100.530006,97.762505,98.077507,83.756302,5021688
2007-09-26,99.000008,106.886253,99.000008,102.240005,87.311020,8742648
2007-09-27,103.027504,104.625008,102.375008,103.590004,88.463890,9243310
2007-09-28,105.075005,105.525002,102.836258,103.556252,88.435051,5418004
2007-10-01,103.950005,105.480003,100.248756,102.206253,87.282196,5427266
2007-10-03,102.633759,106.875008,102.633759,105.840004,90.385338,8988670
2007-10-04,105.075005,105.412506,103.072502,103.961258,88.780907,6610288
2007-10-05,104.602509,104.602509,102.037506,103.533752,88.415848,4669288
2007-10-08,104.625008,106.008759,102.375008,105.637505,90.212402,6592368
2007-10-09,105.525002,110.677505,103.578758,110.025002,93.959251,9962563
2007-10-10,110.711258,113.906258,108.911255,113.242508,96.706924,8041306
2007-10-11,113.400002,113.625008,107.156258,109.800003,93.767113,9173470
2007-10-12,108.056252,110.250008,106.065002,109.530006,93.536530,5287666
2007-10-15,109.575005,112.500008,106.672508,110.745003,94.574112,6731350
2007-10-16,110.902504,111.341255,108.303757,109.293755,93.334785,6244533
2007-10-17,105.750008,110.250008,104.175003,109.867508,93.824753,3905813
2007-10-18,111.375008,114.075005,107.775002,111.105003,94.881554,9718821
2007-10-19,112.950005,114.750008,107.572502,112.488754,96.063232,7483648
2007-10-22,103.016258,112.500008,103.016258,111.431252,95.160156,3302950
2007-10-23,112.500008,113.366257,109.125008,110.823753,94.641365,3764946
2007-10-24,112.275002,112.275002,107.403755,109.417503,93.440460,4355190
2007-10-25,110.250008,112.500008,107.347504,111.802505,95.871490,6548950
2007-10-26,112.050003,112.950005,110.542503,112.466255,96.440666,3677826
2007-10-29,109.248756,115.526253,109.248756,114.716255,98.370056,4493030
2007-10-30,115.875008,116.190002,112.140007,114.896255,98.524399,3708457
2007-10-31,114.750008,114.840004,112.061256,114.108757,97.849113,1929551
2007-11-01,114.738754,115.425003,110.925003,112.365005,96.353844,2655417
2007-11-02,108.450005,112.050003,108.450005,110.655006,94.887505,1918768
2007-11-05,110.655006,114.052505,108.562508,109.068756,93.527275,1913893
2007-11-06,108.900002,110.238754,108.495003,109.552505,93.942101,2065506
2007-11-07,108.675003,109.777504,105.525002,107.381256,92.080215,2446862
2007-11-08,101.283752,106.638756,101.283752,106.098755,90.980484,1976528
2007-11-12,104.625008,104.625008,99.450005,102.690002,88.057442,3943697
2007-11-13,101.250008,102.600006,98.786255,99.483757,85.308067,4728768
2007-11-14,101.700005,107.505005,100.125008,106.413757,91.250595,4700537
2007-11-15,106.908752,106.931252,102.262505,102.870003,88.211792,3432088
2007-11-16,102.532501,104.647507,100.777504,103.691254,88.916016,2472617
2007-11-19,103.691254,105.176254,102.645004,103.196259,88.491570,2361128
2007-11-20,102.982506,102.982506,100.507507,100.867508,86.494644,4771559
2007-11-21,101.025002,101.351257,97.875008,98.268753,84.266190,4221306
2007-11-22,98.268753,98.988754,96.750008,98.516251,84.478424,3809550
2007-11-23,100.102509,100.102509,97.897507,99.326256,85.173027,2273439
2007-11-26,100.350006,102.375008,100.350006,101.958755,87.430397,2156493
2007-11-27,100.800003,103.432503,100.125008,103.005005,88.327560,1879875
2007-11-28,103.500008,103.950005,100.383759,101.193756,86.774406,1319839
2007-11-29,102.858757,104.625008,99.900002,100.822502,86.456039,4078310
2007-11-30,103.421257,104.343758,101.340004,103.646255,88.877441,2508119
2007-12-03,104.625008,112.275002,103.725006,110.722504,94.945389,7847195
2007-12-04,110.925003,113.625008,109.125008,112.095001,96.122322,4381826
2007-12-05,112.905006,112.905006,110.700005,112.230003,96.238068,1557795
2007-12-06,112.725006,113.175003,110.700005,111.397507,95.524185,1578884
2007-12-07,112.500008,113.613754,101.250008,113.220001,97.086990,2164457
2007-12-10,113.220001,114.513756,112.072502,112.803757,96.730072,2493924
2007-12-11,112.950005,114.300003,112.275002,113.771255,97.559708,2062693
2007-12-12,112.500008,114.727509,110.025002,114.187508,97.916626,2876008
2007-12-13,113.625008,113.625008,111.273758,112.601257,96.556427,2600782
2007-12-14,112.725006,112.927505,110.756256,111.870003,95.929367,1591684
2007-12-17,112.500008,112.500008,109.125008,109.833755,94.183266,2773488
2007-12-18,109.878754,111.150002,106.740005,108.866257,93.353645,3544342
2007-12-19,111.352509,111.352509,107.325005,108.843758,93.334320,1237404
2007-12-20,109.080002,111.375008,108.483757,111.003754,95.186546,1728666
2007-12-24,111.712502,121.432503,111.712502,120.375008,103.222473,10780288
2007-12-26,121.387505,122.580009,116.820007,120.498756,103.328590,6678501
2007-12-27,121.500008,124.200005,119.058754,123.637505,106.020058,6058057
2007-12-28,120.948753,121.950005,113.771255,118.766258,101.842964,3067484
2007-12-31,121.005005,122.602509,117.247505,118.271255,101.418465,3770062
2008-01-01,119.036255,119.036255,115.875008,116.100006,99.556625,1491382
2008-01-02,116.550003,116.662506,112.983757,115.053757,98.659454,2493253
2008-01-03,115.053757,115.053757,111.150002,111.645004,95.736435,3650897
2008-01-04,110.250008,112.927505,109.125008,111.746254,95.823235,4050933
2008-01-07,110.475006,111.150002,108.000008,108.551254,93.083504,3127475
2008-01-08,109.800003,111.363754,107.392502,110.115005,94.424446,3779124
2008-01-09,111.600006,113.040009,109.125008,110.430008,94.694565,3014199
2008-01-10,111.656258,112.927505,109.125008,109.732506,94.096458,3201439
2008-01-11,111.937508,111.937508,108.000008,109.991257,94.318314,2733333
2008-01-14,109.575005,109.575005,102.633759,103.758759,88.973930,11917874
2008-01-15,107.775002,107.775002,102.420006,103.522507,88.771324,3460639
2008-01-16,103.522507,103.950005,99.787506,102.667503,88.038155,3837035
2008-01-17,102.825005,105.727509,100.147507,104.073753,89.244026,1093008
2008-01-18,103.500008,104.400002,99.495003,102.228752,87.661911,3484839
